CIP13;200301;200302;200303;200304;200305;200306;200307;200308;200309;200310;200311;200312;200401;200402;200403;200404;200405;200406;200407;200408;200409;200410;200411;200412;200501;200502;200503;200504;200505;200506;200507;200508;200509;200510;200511;200512;200601;200602;200603;200604;200605;200606;200607;200608;200609;200610;200611;200612;200701;200702;200703;200704;200705;200706;200707;200708;200709;200710;200711;200712;200801;200802;200803;200804;200805;200806;200807;200808;200809;200810;200811;200812;200901;200902;200903;200904;200905;200906;200907;200908;200909;200910;200911;200912;201001;201002;201003;201004;201005;201006;201007;201008;201009;201010;201011;201012;201101;201102;201103;201104;201105;201106;201107;201108;201109;201110;201111;201112;201201;201202;201203;201204;201205;201206;201207;201208;201209;201210;201211;201212;201301;201302;201303;201304;201305;201306;201307;201308;201309;201310;201311;201312;201401;201402;201403;201404;201405;201406
3.40093E+12;21922;21631;22310;23086;18818;22795;25511;19109;23765;24250;20176;23765;23377;20176;23765;23765;25705;26772;28033;19885;24832;22310;23377;22116;23183;21437;21631;22892;23862;20661;21825;19109;22601;21437;20855;20661;20176;19982;16393;15908;18042;17363;16102;15714;17751;14744;16490;14647;16878;13192;14453;14259;15908;15714;15035;11640;11640;15617;13192;11058;11155;11155;10805024;8882096;13002656;9523072;12453248;8882096;11262864;11354432;9706208;12636384;10438752;9980912;10255616;11354432;9065232;10805024;7508576;7600144;9248368;10164048;10438752;7691712;8790528;7050736;9980912;9706208;6501328;8149552;6776032;7417008;8424256;7691712;7783280;8973664;7691712;8698960;7233872;8424256;8515824;8332688;8698960;10164048;8332688;7600144;8973664;7691712;10164048;9431504;9614640;6959168;9797776;9431504;8607392;7050736;5036240;7508576;6043488;5951920;5860352;5036240;6043488;5219376;4761536;4669968;5768784;4212128;4578400;5127808;4853104;5834550;4823228;4123082;6456902;3734112;3500730;4268
3.40094E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.33333333;;247.8888889;269.4444444;161.6666667;301.7777778;420.3333333;215.5555556;377.2222222;291;344.8888889;291;247.8888889;409.5555556;474.2222222;377.2222222;538.8888889;722.1111111;571.2222222;646.6666667;538.8888889;646.6666667;657.4444444;829.8888889;1002.333333;883.7777778;851.4444444;797.5555556;94510.33333;80154.33333;86136;80154.33333;76565.33333;57424;71780;59816.66667;62209.33333;65798.33333;32301;72976.33333;56227.66667;55031.33333;53835;44264.33333;39479;52638.66667;44264.33333;45460.66667;58620.33333;57424;52638.66667;65798.33333;53835;40675.33333;59816.66667;56227.66667;49049.66667;52638.66667;68191;61013;58620.33333;57424;65798.33333;39479;38282.66667;49049.66667;62209.33333;33497.33333;29908.33333;32301;50246;28712;43068;64602;32301;35890;40675.33333;47853.33333;38282.66667;28712;39479;35890;43068;45460.66667;53835;65798.33333;46657;62209.33333;62209.33333;59816.66667;55031.33333;64602;81350.66667;63405.66667;81350.66667;47853.33333;46657;62209.33333;71780;49049.66667;64602;50246;377.2222222
3.40094E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;776;1115.5;1455;2376.5;2182.5;2764.5;2716;3152.5;3443.5;4025.5;3540.5;4074;3346.5;3880;3831.5;3589;3783;3831.5;4462;4365;4801.5;4607.5;4074;4219.5;2294244;1975599;1996842;2166786;1890627;1954356;1635711;1741926;1933113;1975599;1763169;1359552;1975599;1656954;1656954;1678197;1295823;1635711;1933113;1550739;1869384;1487010;1699440;1678197;1423281;1826898;1741926;1571982;1487010;1359552;1508253;1720683;2018085;1975599;1890627;2188029;1996842;1741926;1869384;1848141;1571982;1975599;1699440;1720683;2145543;1890627;1741926;2145543;1741926;1699440;1869384;1571982;1593225;1784412;1869384;1763169;1848141;1805655;1487010;1508253;1699440;1720683;1911870;1826898;2060571;2273001;2357973;1890627;2251758;2081814;1741926;1869384;1848141;1848141;3831.5
3.40094E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;161602;;80801;;;80801;80801;80801;80801;;80801;80801;80801;80801;80801;;80801;80801;80801;80801;161602;161602;323204;161602;323204;323204;161602;161602;242403;242403;161602;161602;161602;404005;;;242403;242403;404005;242403;161602;323204;565607;161602;484806;242403;484806;323204;404005;484806;323204;484806;404005;242403;161602;646408;323204;484806;404005;242403;323204;323204;291
3.40094E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;266071;266071;266071;532142;532142;798213;532142;;;798213;798213;266071;532142;266071;532142;532142;1330355;532142;532142;;266071;266071;532142;266071;266071;532142;266071;;;266071;;226204;;;;;
3.40094E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;194;14065;32398;43165;39770;41710;50246;48597;49567;52283;48791;51604;52089;19778688;20076672;21641088;20113920;21007872;22125312;20635392;23317248;20337408;21007872;21790080;19592448;19592448;19033728;19704192;17134080;18512256;19108224;16538112;17245824;13446528;12776064;19517952;13893504;13707264;12776064;11435136;10280448;10988160;10168704;10578432;11956608;11472384;11099904;13111296;11397888;11733120;13148544;12329088;10764672;5587200;1601664;7673088;9982464;9163008;9945216;14712960;12105600;10019712;4581504;1154688;1378176;2532864;2942592;2793600;2830848;3352320;2905344;3365027;2322762;2560994;2501436;3216132;3335248;3841491;3275690;3126795;3216132;3156574;1838538;2192103;2050677;2168532;4268
3.40095E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;194;679;582
3.40094E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;1164;2328;1455;2910;1455;1067;776;1940;1261;1552;2231;1261;3298;2813;1843;2037;2716;1940;2231;2522;2522;3395;3007;1552;3104;2619;2328;3395;2910;2813;1843;3298;2813;2813;1843;1746;3104;2715127;3069274;3187323;2360980;2715127;2715127;3659519;2124882;2715127;2833176;2006833;2597078;2479029;2006833;2715127;3069274;1534637;2242931;2597078;2951225;2124882;3305372;2006833;4013666;2951225;2360980;3069274;1770735;2715127;2242931;2479029;3423421;3305372;2242931;2833176;2597078;2360980;2360980;2479029;1888784;2124882;1746
3.40093E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;;
3.40094E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;496252;248126;372189;496252;992504;1116567;372189;620315;372189;868441;744378;1985008;2357197;1985008;2977512;3225638;1985008;3349701;3845953;2605323;3101575;2605323;3970016;3970016;3845953;3473764;2977512;3101575;3597827;2357197;2605323;3225638;2853449;1649
3.40093E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;97;388;679;485;485
